# MIDI File: MIDI-Viva la vida.mid
# Tempo: 120.0 BPM
# Duration: 262.77 seconds
# Total Notes: 2579
# Tracks: 2

# Format: TIME_SEC | NOTE | DURATION | VELOCITY
# ==================================================

  55.250 | D#4  | 0.236s | vel= 80
  55.250 | A#3  | 0.236s | vel= 80
  55.250 | D#3  | 0.236s | vel= 80
  55.750 | D#4  | 0.236s | vel= 80
  55.750 | A#3  | 0.236s | vel= 80
  55.750 | D#3  | 0.236s | vel= 80
  56.000 | D#4  | 0.236s | vel= 80
  56.000 | A#3  | 0.236s | vel= 80
  56.000 | D#3  | 0.236s | vel= 80
  56.500 | G#4  | 0.236s | vel= 80
  56.500 | D#4  | 0.236s | vel= 80
  56.500 | A#3  | 0.236s | vel= 80
  56.500 | D#3  | 0.236s | vel= 80
  56.750 | G#4  | 0.236s | vel= 80
  57.000 | C5   | 0.236s | vel= 80
  57.000 | C4   | 0.236s | vel= 80
  57.000 | G#3  | 0.236s | vel= 80
  57.000 | D#3  | 0.236s | vel= 80
  57.250 | A#4  | 0.236s | vel= 80
  57.500 | G#4  | 0.236s | vel= 80
  57.500 | C4   | 0.236s | vel= 80
  57.500 | G#3  | 0.236s | vel= 80
